City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,87.33,clear sky,22.2855,114.1577,Mini Central
1,Podgornoye,RU,84.42,clear sky,51.735,39.1496,"O 'Hara's Irish Pub, restaurant, hotel"
2,Kaeng Khoi,TH,82.98,heavy intensity rain,14.5862,100.9976,ปานปั้นเพลส / PaanPuanPlace
7,Kure,JP,80.53,overcast clouds,34.2333,132.5667,Clayton Bay Hotel
9,Daoukro,CI,75.02,moderate rain,7.0591,-3.9631,Komenan brou roseline
19,Kapaa,US,76.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,San Patricio,US,89.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
31,Butaritari,KI,80.98,light rain,3.0707,172.7902,Isles Sunset Lodge
33,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
34,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
37,Robertson,US,78.67,overcast clouds,36.5167,-86.8667,Hampton Inn Springfield
40,Sarh,TD,89.51,few clouds,9.1429,18.3923,Domicile 1sur le goudron
42,Russell,US,87.08,overcast clouds,32.3502,-85.1999,Macs
47,Bambanglipuro,ID,75.15,few clouds,-7.95,110.2833,Puri Brata
56,Keelung,TW,86.95,overcast clouds,25.1283,121.7419,East Coast Star Boutique Hotel
62,Wanning,CN,80.56,overcast clouds,18.8003,110.3967,Paradise Hotel
63,Hirara,JP,84.16,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
65,Dingle,PH,76.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
69,Amapa,BR,80.83,scattered clouds,1.0,-52.0,
70,Denia,ES,87.39,clear sky,38.8408,0.1057,Hotel Port Dénia
72,Ailigandi,PA,84.47,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
73,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
78,Domoni,KM,75.56,broken clouds,-12.2569,44.5319,Al Djadid
80,Kavaratti,IN,81.32,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
91,Kirakira,SB,78.64,few clouds,-10.4544,161.9205,SanBiz Lodge
95,Jamestown,US,75.94,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
98,Quelimane,MZ,75.15,few clouds,-17.8786,36.8883,Hotel Flamingo
99,Dourbali,TD,87.28,overcast clouds,11.8091,15.8632,
