City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.2855,114.1577,87.33,83,10,13.0,clear sky
1,Podgornoye,RU,51.735,39.1496,84.42,32,0,6.71,clear sky
2,Kaeng Khoi,TH,14.5862,100.9976,82.98,89,100,6.44,heavy intensity rain
3,Karasuk,RU,53.7377,78.0403,71.55,60,84,9.51,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,74.7,78,100,14.2,light rain
5,Saint-Philippe,RE,-21.3585,55.7679,69.39,77,31,15.57,scattered clouds
6,Clyde River,CA,70.4692,-68.5914,43.03,75,20,4.61,few clouds
7,Kure,JP,34.2333,132.5667,80.53,90,99,1.63,overcast clouds
8,Codrington,AU,-38.2667,141.9667,43.5,92,1,7.25,clear sky
9,Daoukro,CI,7.0591,-3.9631,75.02,97,100,5.46,moderate rain
10,Fairbanks,US,64.8378,-147.7164,70.21,70,0,0.0,smoke
11,Busselton,AU,-33.65,115.3333,57.16,67,81,25.52,broken clouds
12,Mataura,NZ,-46.1927,168.8643,38.48,92,33,1.9,scattered clouds
13,Dikson,RU,73.5069,80.5464,32.72,91,18,8.93,few clouds
14,Haines Junction,CA,60.7522,-137.5108,51.75,82,100,1.14,overcast clouds
15,Saint George,US,37.1041,-113.5841,90.43,19,0,3.44,clear sky
16,Geraldton,AU,-28.7667,114.6,63.01,94,75,17.27,broken clouds
17,Tuatapere,NZ,-46.1333,167.6833,34.54,84,15,3.56,few clouds
18,Jalu,LY,29.0331,21.5482,100.31,23,0,24.9,clear sky
19,Kapaa,US,22.0752,-159.319,76.98,92,75,14.97,broken clouds
20,Ribeira Grande,PT,38.5167,-28.7,72.0,64,40,16.11,scattered clouds
21,Hermanus,ZA,-34.4187,19.2345,61.81,68,39,17.13,scattered clouds
22,Bredasdorp,ZA,-34.5322,20.0403,64.74,55,17,5.28,few clouds
23,Albany,US,42.6001,-73.9662,74.68,50,1,5.26,clear sky
24,San Patricio,US,28.017,-97.5169,89.49,58,10,7.05,clear sky
25,Bluff,NZ,-46.6,168.3333,38.8,66,76,5.86,broken clouds
26,Lerwick,GB,60.1545,-1.1494,53.6,76,98,14.16,overcast clouds
27,Cairns,AU,-16.9167,145.7667,69.75,81,100,10.36,overcast clouds
28,Vostok,RU,46.4856,135.8833,60.76,93,89,4.03,overcast clouds
29,Kuito,AO,-12.3833,16.9333,73.54,78,0,0.0,clear sky
30,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,73,0,23.02,clear sky
31,Butaritari,KI,3.0707,172.7902,80.98,80,26,14.25,light rain
32,Paamiut,GL,61.994,-49.6678,39.15,94,100,8.5,overcast clouds
33,Salalah,OM,17.0151,54.0924,77.09,100,100,10.36,light intensity drizzle
34,Hilo,US,19.7297,-155.09,81.28,89,75,10.36,broken clouds
35,Grushevskaya,RU,47.4406,39.9511,94.08,21,20,15.66,few clouds
36,New Norfolk,AU,-42.7826,147.0587,45.9,79,80,0.85,broken clouds
37,Robertson,US,36.5167,-86.8667,78.67,88,100,4.61,overcast clouds
38,Ilulissat,GL,69.2167,-51.1,51.82,54,20,5.75,few clouds
39,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,90.93,26,51,10.76,broken clouds
40,Sarh,TD,9.1429,18.3923,89.51,62,20,8.05,few clouds
41,Jaru,BR,-10.4389,-62.4664,91.06,38,1,3.98,clear sky
42,Russell,US,32.3502,-85.1999,87.08,67,100,5.48,overcast clouds
43,Guerrero Negro,MX,27.9769,-114.0611,70.03,76,54,12.39,broken clouds
44,Aginskoye,RU,51.1,114.53,57.13,89,100,3.71,overcast clouds
45,Puerto Ayora,EC,-0.7393,-90.3518,73.36,97,92,4.0,overcast clouds
46,Hammerfest,NO,70.6634,23.6821,57.65,67,98,12.66,overcast clouds
47,Bambanglipuro,ID,-7.95,110.2833,75.15,85,12,9.86,few clouds
48,Carnarvon,AU,-24.8667,113.6333,70.88,65,1,9.93,clear sky
49,Vaini,TO,-21.2,-175.2,74.32,78,11,20.33,few clouds
50,Qaanaaq,GL,77.484,-69.3632,41.13,81,100,1.5,overcast clouds
51,Pangnirtung,CA,66.1451,-65.7125,46.4,87,75,16.11,broken clouds
52,Dagana,MR,16.5165,-15.5068,94.53,40,100,12.48,overcast clouds
53,Tasiilaq,GL,65.6145,-37.6368,48.36,83,100,6.33,overcast clouds
54,Cape Town,ZA,-33.9258,18.4232,61.12,85,75,18.41,moderate rain
55,Mar Del Plata,AR,-38.0023,-57.5575,53.94,87,100,8.05,overcast clouds
56,Keelung,TW,25.1283,121.7419,86.95,85,99,1.43,overcast clouds
57,Leningradskiy,RU,69.3833,178.4167,52.25,84,100,2.86,light rain
58,Hobart,AU,-42.8794,147.3294,46.26,89,100,8.05,overcast clouds
59,Lakeway,US,30.3638,-97.9796,93.47,51,0,6.91,clear sky
60,Antalaha,MG,-14.9003,50.2788,69.49,80,4,13.62,light rain
61,Rawson,AR,-43.3002,-65.1023,58.19,28,18,16.11,few clouds
62,Wanning,CN,18.8003,110.3967,80.56,87,89,3.06,overcast clouds
63,Hirara,JP,24.8,125.2833,84.16,80,100,13.69,overcast clouds
64,Khatanga,RU,71.9667,102.5,45.75,93,100,4.79,overcast clouds
65,Dingle,PH,10.9995,122.6711,76.95,90,100,4.61,overcast clouds
66,Talnakh,RU,69.4865,88.3972,54.21,95,100,3.33,light rain
67,Lebu,CL,-37.6167,-73.65,49.51,94,100,12.24,moderate rain
68,Hassleholm,SE,56.1591,13.7664,65.35,46,18,15.73,few clouds
69,Amapa,BR,1.0,-52.0,80.83,77,44,5.64,scattered clouds
70,Denia,ES,38.8408,0.1057,87.39,53,0,10.0,clear sky
71,Flin Flon,CA,54.7682,-101.865,67.84,94,100,5.75,overcast clouds
72,Ailigandi,PA,9.2333,-78.0167,84.47,73,61,2.71,broken clouds
73,Luanda,AO,-8.8368,13.2343,75.2,73,20,14.97,few clouds
74,Thompson,CA,55.7435,-97.8558,68.16,64,100,4.61,overcast clouds
75,Chuy,UY,-33.6971,-53.4616,58.69,94,100,12.75,overcast clouds
